Date,PM2.5 Anand vihar,PM2.5 Bawana,PM2.5 DTU,PM2.5 Vivek Vihar
28-02-2016,0,0.0,0,0
29-02-2016,161.77,0.0,0,0
01-03-2016,354.19,0.0,0,0
02-03-2016,295.66,0.0,0,0
03-03-2016,212.29,0.0,0,0
04-03-2016,0,0.0,0,0
05-03-2016,0,0.0,0,0
06-03-2016,104.93,0.0,0,0
07-03-2016,120.99,0.0,0,0
08-03-2016,80.18,0.0,0,0
09-03-2016,87.8,0.0,0,0
10-03-2016,235.62,0.0,0,0
11-03-2016,0,0.0,0,0
12-03-2016,0,0.0,0,0
13-03-2016,0,0.0,0,0
14-03-2016,0,0.0,0,0
15-03-2016,0,0.0,0,0
16-03-2016,62.29,0.0,0,0
17-03-2016,92.01,0.0,0,0
18-03-2016,0,0.0,0,0
19-03-2016,0,0.0,0,0
20-03-2016,83.55,0.0,0,0
21-03-2016,66.11,0.0,0,0
22-03-2016,46.74,0.0,0,0
23-03-2016,58.74,0.0,0,0
24-03-2016,0,0.0,0,0
25-03-2016,85.84,0.0,0,0
26-03-2016,49.98,0.0,0,0
27-03-2016,0,0.0,0,0
28-03-2016,55.29,0.0,0,0
29-03-2016,116,0.0,0,0
30-03-2016,66.17,0.0,0,0
31-03-2016,0,0.0,0,0
01-04-2016,0,0.0,0,0
02-04-2016,0,0.0,0,0
03-04-2016,130.57,0.0,0,0
04-04-2016,185.15,0.0,0,0
05-04-2016,0,0.0,0,0
06-04-2016,73.53,0.0,0,0
07-04-2016,145.41,0.0,0,0
08-04-2016,107.12,0.0,0,0
09-04-2016,275.11,0.0,0,0
10-04-2016,179.78,0.0,0,0
11-04-2016,69.18,0.0,0,0
12-04-2016,55.28,0.0,0,0
13-04-2016,65.36,0.0,0,0
14-04-2016,116.47,0.0,0,0
15-04-2016,215.29,0.0,0,0
16-04-2016,0,0.0,0,0
17-04-2016,132.14,0.0,0,0
18-04-2016,121.37,0.0,0,0
19-04-2016,153.45,0.0,0,0
20-04-2016,131.44,0.0,0,0
21-04-2016,75.79,0.0,0,0
22-04-2016,0,0.0,0,0
23-04-2016,0,0.0,0,0
24-04-2016,39.13,0.0,0,0
25-04-2016,118.55,0.0,0,0
26-04-2016,212.23,0.0,0,0
27-04-2016,309.9,0.0,0,0
28-04-2016,263.81,0.0,0,0
29-04-2016,242.55,0.0,0,0
30-04-2016,0,0.0,0,0
01-05-2016,0,0.0,0,0
02-05-2016,0,0.0,0,0
03-05-2016,163.79,0.0,0,0
04-05-2016,96.97,0.0,0,0
05-05-2016,60.68,0.0,0,0
06-05-2016,64.67,0.0,0,0
07-05-2016,107,0.0,0,0
08-05-2016,95.79,0.0,0,0
09-05-2016,77.05,0.0,0,0
10-05-2016,76.78,0.0,0,0
11-05-2016,64.33,0.0,0,0
12-05-2016,115.28,0.0,0,0
13-05-2016,130.14,0.0,0,0
14-05-2016,140.07,0.0,0,0
15-05-2016,140.59,0.0,0,0
16-05-2016,120.1,0.0,0,0
17-05-2016,89.42,0.0,0,0
18-05-2016,120.38,0.0,0,0
19-05-2016,86.54,0.0,0,0
20-05-2016,68.28,0.0,0,0
21-05-2016,64.06,0.0,0,0
22-05-2016,0,0.0,0,0
23-05-2016,0,0.0,0,0
24-05-2016,0,0.0,0,0
25-05-2016,0,0.0,0,0
26-05-2016,0,0.0,0,0
27-05-2016,0,0.0,0,0
28-05-2016,0,0.0,0,0
29-05-2016,0,0.0,0,0
30-05-2016,98.41,0.0,0,0
31-05-2016,136.63,0.0,0,0
01-06-2016,121.56,0.0,0,0
02-06-2016,129.37,0.0,0,0
03-06-2016,246.9,0.0,0,0
04-06-2016,275.86,0.0,0,0
05-06-2016,100.78,0.0,0,0
06-06-2016,132.36,0.0,0,0
07-06-2016,97.51,0.0,0,0
08-06-2016,78.25,0.0,0,0
09-06-2016,77.07,0.0,0,0
10-06-2016,87.75,0.0,0,0
11-06-2016,98.74,0.0,0,0
12-06-2016,109.66,0.0,0,0
13-06-2016,115.32,0.0,0,0
14-06-2016,72.41,0.0,0,0
15-06-2016,110.91,0.0,0,0
16-06-2016,48.04,0.0,0,0
17-06-2016,62.18,0.0,0,0
18-06-2016,59.34,0.0,0,0
19-06-2016,58.83,0.0,0,0
20-06-2016,53.49,0.0,0,0
21-06-2016,44.48,0.0,0,0
22-06-2016,55.59,0.0,0,0
23-06-2016,72.27,0.0,0,0
24-06-2016,123.26,0.0,0,0
25-06-2016,81.73,0.0,0,0
26-06-2016,64.9,0.0,0,0
27-06-2016,64.22,0.0,0,0
28-06-2016,54.3,0.0,0,0
29-06-2016,37.35,0.0,0,0
30-06-2016,53.72,0.0,0,0
01-07-2016,56.7,0.0,0,0
02-07-2016,46.53,0.0,0,0
03-07-2016,67.03,0.0,0,0
04-07-2016,51.79,0.0,0,0
05-07-2016,89.24,0.0,0,0
06-07-2016,68.28,0.0,0,0
07-07-2016,34.55,0.0,0,0
08-07-2016,47.45,0.0,0,0
09-07-2016,41.35,0.0,0,0
10-07-2016,56.45,0.0,0,0
11-07-2016,45.44,0.0,0,0
12-07-2016,51.44,0.0,0,0
13-07-2016,86.38,0.0,0,0
14-07-2016,0,0.0,0,0
15-07-2016,37.21,0.0,0,0
16-07-2016,36.28,0.0,0,0
17-07-2016,42.56,0.0,0,0
18-07-2016,41.54,0.0,0,0
19-07-2016,61.15,0.0,0,0
20-07-2016,78.49,0.0,0,0
21-07-2016,90.74,0.0,0,0
22-07-2016,64.91,0.0,0,0
23-07-2016,40.1,0.0,0,0
24-07-2016,68.78,0.0,0,0
25-07-2016,97.6,0.0,0,0
26-07-2016,63.1,0.0,0,0
27-07-2016,42.78,0.0,0,0
28-07-2016,53.01,0.0,0,0
29-07-2016,59.89,0.0,0,0
30-07-2016,48.1,0.0,0,0
31-07-2016,45.94,0.0,0,0
01-08-2016,43.74,0.0,0,0
02-08-2016,48.73,0.0,0,0
03-08-2016,43.17,0.0,0,0
04-08-2016,43.29,0.0,0,0
05-08-2016,40.81,0.0,0,0
06-08-2016,44.64,0.0,0,0
07-08-2016,40.7,0.0,0,0
08-08-2016,46.54,0.0,0,0
09-08-2016,39.43,0.0,0,0
10-08-2016,35.27,0.0,0,0
11-08-2016,22.39,0.0,0,0
12-08-2016,50.79,0.0,0,0
13-08-2016,95.01,0.0,0,0
14-08-2016,53.88,0.0,0,0
15-08-2016,0,0.0,0,0
16-08-2016,46.61,0.0,0,0
17-08-2016,73.05,0.0,0,0
18-08-2016,54.33,0.0,0,0
19-08-2016,64.55,0.0,0,0
20-08-2016,35.65,0.0,0,0
21-08-2016,20.8,0.0,0,0
22-08-2016,25.3,0.0,0,0
23-08-2016,37.4,0.0,0,0
24-08-2016,27.49,0.0,0,0
25-08-2016,56.9,0.0,0,0
26-08-2016,57.78,0.0,0,0
27-08-2016,0,0.0,0,0
28-08-2016,47.43,0.0,0,0
