From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
26-01-2019 00:00,168.09,59.05,64.2,0.52,3.13,4.83,82.27,12.66,3.58,49.24,40.14,97.25
26-01-2019 08:00,187.09,65.28,90.8,1.31,0.76,4.07,101.48,17.47,12.17,48.01,37.11,85.34
26-01-2019 16:00,204.41,127.41,92.8,0.82,3.87,5.57,153.33,14.39,8.35,50.02,33.04,100.84
27-01-2019 00:00,242.81,131.96,77.42,0.38,2.53,5.7,149.13,12.92,5.51,51.49,43.42,136.91
27-01-2019 08:00,226.94,103.1,78.62,1.6,2.28,4.57,125.82,17.27,7.66,49.09,39.91,115.03
27-01-2019 16:00,254.69,149.95,104.9,0.77,None,6.89,178.03,12.89,8.39,47.95,40.85,130.5
28-01-2019 00:00,219.78,118.48,83.57,0.7,1.74,5.12,141.21,11.74,6.4,50.39,30,137.28
28-01-2019 08:00,233.94,112.29,94.49,1.91,1.94,8.68,141.92,18.79,6.9,47.89,31.02,106.34
28-01-2019 16:00,259.78,195.35,104.75,0.84,4.23,8.69,215.01,13.44,8.32,48.8,48.83,123.66
29-01-2019 00:00,225.47,138.55,85.85,0.62,1.64,5.66,158.6,9.85,5.73,50.69,45.86,143.41
29-01-2019 08:00,247.6,110.81,98.76,1.53,2.54,5.09,142.82,21.89,11.37,29.78,36.45,130.46
29-01-2019 16:00,430.12,318.74,123.74,0.47,2.72,12.61,324.68,16.57,18.3,14.02,62.54,176.38
30-01-2019 00:00,422.28,232.08,99.68,0.3,1.21,9.84,243.95,11.22,21.94,12.88,45.07,231.03
30-01-2019 08:00,403.94,149.38,113.01,0.75,1.55,8.62,181.8,34.58,27.48,16.95,40.62,206.38
30-01-2019 16:00,581.37,314.66,140.31,0.32,4.7,15.25,329.8,20.82,47.43,24.82,128.18,279.69
31-01-2019 00:00,688.39,247.61,96.86,0.38,2.34,17.62,253.56,24.36,41.26,41.72,121.98,405.75
31-01-2019 08:00,324.06,22.6,68.56,2.41,1.78,7.61,54.88,43.43,19.84,29.4,55.72,165.94
31-01-2019 16:00,250.22,16.61,82.36,1.46,0.65,6.24,57.34,29.28,6.89,24,41.92,122.03
01-02-2019 00:00,276.94,66.49,76.05,0.51,2.33,6.41,94.67,55.31,39.08,26.97,82.88,186.16
01-02-2019 08:00,275.88,44.85,68.3,1.56,2.04,6.84,72.85,44.74,20.88,29.53,53.12,165.03
