Temperature,Windspeed
31.151508,10.529577
32.220436,9.506877
30.776094,8.692031
31.215607,9.452686
31.22986,9.086387
31.041065,9.356996
31.83896,9.115487
31.19647,8.475371
32.014236,9.623929
30.109598,8.294604
29.013676,7.44708
27.532255,6.3490996
28.620298,9.273535
31.001638,12.433108
30.421028,10.556817
32.11569,9.738442
31.598223,9.130674
30.925241,8.416613
31.795498,9.358681
32.214973,9.663801
31.64626,8.93188
32.01997,9.29956
30.960516,8.560492
32.79464,10.94394
32.14749,9.779885
34.23033,13.006501
34.46134,10.489357
32.091003,9.583534
32.387585,9.811389
34.31795,12.703407
31.41388,10.609332
30.905931,9.074067
30.621037,8.983075
30.391409,9.234742
30.00553,8.497751
31.013535,8.891299
30.761557,8.371183
29.47643,7.5356436
30.550726,9.019952
31.564346,10.565595
33.2866,12.911818
33.742268,10.878081
35.51545,11.941852
33.58928,10.080143
33.101654,9.987236
32.021667,9.366806
30.637177,8.130748
30.452768,8.124819
31.142773,9.272886
30.744345,8.518972
30.622375,8.081915
31.522034,9.227127
30.336605,8.203846
29.967615,7.8895197
28.694845,6.9710917
29.389177,8.7492695
29.180195,8.081093
27.834599,7.2158947
30.080278,9.026537
30.69589,10.097074
30.406536,9.93058
30.342018,7.9101143
26.403313,6.9861407
28.32477,11.514504
24.628294,7.4203134
27.295055,13.791445
25.170443,7.0024548
22.362955,5.2083216
27.97842,15.105056
26.400936,14.761928
28.166664,11.142637
31.567795,9.879587
30.039936,8.362066
28.442963,7.063456
28.464285,7.1722913
25.461376,5.215592
23.213022,4.65208
24.574827,6.7204485
23.666513,6.2110367
23.675888,5.44043
24.198452,4.7075143
24.737722,5.479557
24.13055,5.019366
25.512877,6.643242
24.874176,5.160532
27.454044,9.618673
25.702766,5.9980373
24.40275,5.2830653
23.63896,4.819007
22.896446,5.5700717
21.043251,4.496849
19.965939,4.1255665
21.726978,7.165716
23.344986,12.604087
23.33937,7.5011787
22.806358,4.759457
21.624096,4.2932925
20.970858,4.8259053
20.718342,5.2379036
20.837595,4.472573
20.124508,3.9324348
20.422716,4.44434
18.959848,4.053214
19.877525,4.9313
20.665413,5.719359
20.592117,5.465894
21.839703,4.9314494
21.453087,4.320487
20.89412,4.07918
20.655165,4.017653
19.238617,3.8178942
20.01884,4.6417418
19.66452,4.0888405
20.37193,4.6889296
20.147972,3.9327416
19.619186,3.7177143
20.904526,4.79101
19.095356,4.241573
19.62466,4.828924
18.695328,4.386897
19.102999,5.081774
18.611559,4.21209
18.978683,4.5002356
18.702951,3.9854765
19.159267,4.375003
21.113548,9.791113
22.341352,9.898285
22.679026,5.496415
21.667358,4.4022512
19.651333,4.36251
20.953224,7.9603596
21.428015,11.778558
21.298048,7.3530664
20.579727,4.229407
21.356554,5.205638
19.63707,4.2255125
21.74634,10.1775
23.460144,8.995789
21.064083,5.850468
22.782831,6.5634274
22.68881,7.184197
22.976856,10.276133
24.360044,5.827046
24.937689,5.221362
27.25968,7.42629
27.01213,7.1085134
24.337603,5.418804
24.27678,5.449891
23.844698,6.687978
23.420593,7.4749565
23.97679,5.012476
27.060722,8.451132
24.193169,5.6098204
25.312212,8.673973
23.717611,5.455082
22.874758,6.3438783
24.922676,6.9167094
24.87832,7.4529037
24.072206,4.9422207
26.139818,7.488064
24.40288,5.5401707
25.016176,7.7751775
24.186457,5.054055
23.98047,5.705456
23.13052,4.739818
22.28418,4.621224
23.481548,5.4276147
24.943659,8.612779
25.859726,7.405091
22.573511,6.097459
23.964144,9.041159
24.635271,12.639327
23.009846,10.904308
24.628908,5.4909854
26.61153,6.444782
25.272749,5.531744
23.034718,4.7865257
23.85747,5.8627834
24.21704,8.162802
23.541538,6.624572
22.648533,4.628437
21.858404,4.314701
20.50626,3.964232
19.404436,3.6910129
21.538113,7.4225717
21.738686,5.879527
23.586046,7.2087564
22.377556,4.686183
23.513739,6.592666
23.064589,5.3273067
21.506823,4.7057824
22.49479,4.6449065
20.731178,4.141234
22.959372,9.478667
22.882917,6.289174
21.608444,4.818128
21.74857,4.2332554
23.438139,9.211736
21.801098,5.4763293
22.516012,5.135037
24.8795,7.372137
23.152197,5.444705
23.087505,4.7687206
23.763273,5.040297
22.609245,4.6600895
22.878866,4.8191385
23.195335,4.6657615
23.687426,5.273878
22.630346,4.577076
21.760738,4.255368
23.122889,6.200221
20.741142,4.6010547
21.69172,5.4236155
20.579622,4.309172
19.913544,4.1535063
23.712845,11.984554
24.126663,10.542723
25.595524,7.92955
27.910305,6.7467756
26.728708,5.749348
25.897577,5.25904
26.690723,6.117898
26.415318,6.199885
26.131416,5.874928
24.883589,4.9804163
23.163809,4.581014
24.866959,8.645093
22.258266,5.298932
24.097855,8.634269
22.390577,5.0476003
20.463186,4.3302255
20.930824,4.3535447
21.982414,9.745096
24.170347,9.886057
25.428406,7.430896
27.409275,6.886665
24.483566,5.464713
23.900167,5.483491
21.563581,4.5291004
19.39336,3.9493067
19.340546,3.9974878
20.497774,5.96337
20.287212,4.880484
19.72502,3.9306474
21.922138,6.663282
21.08606,5.246398
20.582823,4.4389205
